Imc faixas;Frequência Absoluta;Custo Total;Frequência Relativa;Gasto por Colaborador
Abaixo do peso;17;16554.12146;0.009323206028790875;973.7718505882352
Acima do peso;386;424117.8818049;0.238861264979595;1098.7509891318653
Muito abaixo do peso;3;1150.27971;0.0006478323088894276;383.42657
Obesidade I;391;563809.291315;0.3175348324329813;1441.9674969693097
Obesidade II (Severa);224;382030.358056;0.21515776273692006;1705.4926698928573
Obesidade III (Mórbida);92;153710.468278;0.08656903768650483;1670.7659595434782
Peso normal;225;234210.098452;0.13190606382631864;1040.9337708977778
Total Geral;1338;1775582.4990758998;1.0;
